order_id,order_date,brand,category,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,sales_channel,country,customer_income_level,year,month
ORD100001,2026-10-05,Reebok,Lifestyle,80,5,76.0,3,228.0,Online,USA,Low,2026,10
ORD100003,2026-08-29,Reebok,Basketball,61,15,51.85,2,103.7,Retail Store,India,High,2026,8
ORD100009,2026-03-11,Nike,Gym,119,30,83.3,2,166.6,Retail Store,USA,Medium,2026,3
ORD100012,2025-09-20,Puma,Lifestyle,193,30,135.1,2,270.2,Retail Store,UAE,Low,2025,9
ORD100014,2026-01-03,Reebok,Training,73,30,51.1,3,153.3,Online,USA,Low,2026,1
ORD100022,2026-07-19,Adidas,Lifestyle,64,5,60.8,3,182.4,Online,India,Medium,2026,7
ORD100024,2026-12-21,Nike,Gym,155,0,155.0,4,620.0,Online,Pakistan,Low,2026,12
ORD100037,2025-05-27,Adidas,Basketball,219,30,153.3,4,613.2,Retail Store,Germany,Low,2025,5
ORD100038,2025-02-20,Adidas,Lifestyle,182,0,182.0,3,546.0,Online,UK,High,2025,2
ORD100042,2026-09-20,Adidas,Gym,111,0,111.0,1,111.0,Online,UK,Low,2026,9
ORD100044,2025-10-17,Nike,Training,101,10,90.9,3,272.7,Online,UK,Medium,2025,10
ORD100046,2025-12-27,Nike,Lifestyle,96,10,86.4,3,259.2,Online,UAE,Medium,2025,12
ORD100057,2026-05-05,Reebok,Running,120,10,108.0,4,432.0,Online,India,Medium,2026,5
ORD100061,2026-10-07,Adidas,Lifestyle,84,5,79.8,3,239.4,Retail Store,UK,High,2026,10
ORD100062,2025-05-08,New Balance,Training,83,5,78.85,4,315.4,Retail Store,USA,Medium,2025,5
ORD100063,2025-05-20,Adidas,Basketball,189,5,179.55,1,179.55,Online,India,Medium,2025,5
ORD100065,2026-07-24,ASICS,Gym,212,20,169.6,4,678.4,Online,Germany,Low,2026,7
ORD100066,2026-04-15,Nike,Lifestyle,79,0,79.0,4,316.0,Retail Store,Pakistan,Medium,2026,4
ORD100071,2026-01-16,Adidas,Training,64,15,54.4,2,108.8,Online,USA,Medium,2026,1
ORD100074,2025-11-13,Reebok,Running,149,20,119.2,2,238.4,Retail Store,UK,High,2025,11
ORD100079,2025-07-07,Adidas,Gym,88,30,61.6,4,246.4,Online,USA,High,2025,7
ORD100082,2026-12-25,Reebok,Basketball,128,15,108.8,2,217.6,Retail Store,Germany,Medium,2026,12
ORD100098,2026-01-07,New Balance,Training,187,15,158.95,3,476.85,Online,India,Medium,2026,1
ORD100102,2025-08-07,Reebok,Running,205,15,174.25,1,174.25,Online,UK,Medium,2025,8
ORD100104,2025-03-30,New Balance,Lifestyle,86,5,81.7,2,163.4,Online,UK,Medium,2025,3
ORD100109,2025-06-09,Reebok,Lifestyle,185,5,175.75,4,703.0,Online,Germany,Low,2025,6
ORD100111,2025-06-29,New Balance,Basketball,172,0,172.0,4,688.0,Retail Store,Germany,Low,2025,6
ORD100115,2025-02-13,New Balance,Running,71,5,67.45,4,269.8,Online,India,High,2025,2
ORD100123,2025-03-22,Nike,Basketball,86,0,86.0,1,86.0,Retail Store,India,Medium,2025,3
ORD100130,2025-07-24,Adidas,Lifestyle,182,5,172.9,4,691.6,Retail Store,USA,Low,2025,7
ORD100132,2026-02-03,Nike,Lifestyle,125,10,112.5,3,337.5,Retail Store,India,High,2026,2
ORD100134,2026-07-22,ASICS,Lifestyle,111,0,111.0,2,222.0,Online,Germany,Medium,2026,7
ORD100138,2025-07-17,ASICS,Training,102,10,91.8,3,275.4,Online,UAE,High,2025,7
ORD100139,2025-11-12,Reebok,Running,139,10,125.1,2,250.2,Online,USA,High,2025,11
ORD100151,2026-09-02,ASICS,Lifestyle,178,20,142.4,4,569.6,Online,Germany,Medium,2026,9
ORD100154,2025-11-14,ASICS,Gym,170,15,144.5,3,433.5,Online,USA,High,2025,11
ORD100159,2026-05-16,Reebok,Gym,154,0,154.0,3,462.0,Online,India,High,2026,5
ORD100161,2026-01-09,ASICS,Running,138,30,96.6,2,193.2,Online,USA,Medium,2026,1
ORD100169,2025-12-21,New Balance,Basketball,68,10,61.2,3,183.6,Online,Germany,Medium,2025,12
ORD100172,2026-12-11,ASICS,Gym,99,30,69.3,4,277.2,Online,Pakistan,Low,2026,12
ORD100173,2025-06-13,Puma,Gym,164,20,131.2,2,262.4,Retail Store,India,Medium,2025,6
ORD100174,2026-11-13,Adidas,Gym,64,10,57.6,3,172.8,Retail Store,UK,High,2026,11
ORD100177,2025-10-04,ASICS,Gym,82,0,82.0,1,82.0,Retail Store,India,Low,2025,10
ORD100186,2025-12-02,New Balance,Running,85,10,76.5,3,229.5,Online,UAE,High,2025,12
ORD100189,2026-03-23,Nike,Basketball,170,15,144.5,3,433.5,Retail Store,UAE,Medium,2026,3
ORD100190,2026-05-11,Reebok,Running,127,20,101.6,4,406.4,Online,Pakistan,Medium,2026,5
ORD100193,2025-05-31,Adidas,Training,208,5,197.6,2,395.2,Online,USA,Medium,2025,5
ORD100196,2026-11-10,Reebok,Running,94,15,79.9,1,79.9,Online,USA,Low,2026,11
